Title,Artist,ConstituentID,Date,Medium,Dimensions,CreditLine,AccessionNumber,Classification,Department,DateAcquired,Cataloged,ObjectID,URL,ThumbnailURL,Circumference (cm),Depth (cm),Diameter (cm),Height (cm),Length (cm),Weight (kg),Width (cm),Seat Height (cm),Duration (sec.)
Les Métamorphoses,Pablo Picasso,4609,"1930–31, published 1931",Illustrated book with 30 etchings,"composition (see child records): dimensions vary; page (each approx.): 12 5/8 x 10 1/4"" (32 x 26 cm)",The Louis E. Stern Collection,968.1964.1-30,Illustrated Book,Prints & Illustrated Books,1964-10-06,Y,29316,http://www.moma.org/collection/works/29316,http://www.moma.org/media/W1siZiIsIjE3NDc2OCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=391aef88b3dd7566,,,,32.0,,,26.0,,
The Combat of Perseus and Phineus for Andromeda (Combat pour Andromède entre Persée et Phinée) from Les Métamorphoses,Pablo Picasso,4609,"1930, published 1931",Etching from an illustrated book with 30 etchings,"composition: 12 5/16 x 8 1/4"" (31.3 x 21 cm); page: 12 13/16 x 10 3/16"" (32.5 x 25.8 cm)",The Louis E. Stern Collection,968.1964.10,Illustrated Book,Prints & Illustrated Books,1964-10-06,Y,29317,http://www.moma.org/collection/works/29317,http://www.moma.org/media/W1siZiIsIjE2NDI2MiJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=ab92e6344375833f,,,,31.3,,,21.0,,
Arachne Showing Her Work (Arachnée montrant son travail) from Les Métamorphoses,Pablo Picasso,4609,1931,Etching from an illustrated book with 30 etchings,"composition (irreg.): 5 13/16 x 6 3/4"" (14.8 x 17.2 cm); page: 12 5/8 x 10 1/4"" (32 x 26 cm)",The Louis E. Stern Collection,968.1964.11,Illustrated Book,Prints & Illustrated Books,1964-10-06,Y,29318,http://www.moma.org/collection/works/29318,http://www.moma.org/media/W1siZiIsIjE2NDI2MyJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=6bb0e4f7d83a29a6,,,,14.8,,,17.2,,
Struggle Between Tereus and His Sister-In-Law Philomela (Lutte entre Térée et sa belle-sœur Philomèle) from Les Métamorphoses,Pablo Picasso,4609,"1930, published 1931",Etching from an illustrated book with 30 etchings,"composition (irreg.): 8 13/16 × 6 3/4"" (22.4 × 17.1 cm); page: 12 5/8 × 10 1/4"" (32 × 26 cm)",The Louis E. Stern Collection,968.1964.12,Illustrated Book,Prints & Illustrated Books,1964-10-06,Y,29319,http://www.moma.org/collection/works/29319,http://www.moma.org/media/W1siZiIsIjE2NDI2NCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=37a922270d2fdd74,,,,22.4,,,17.1,,
Four Seated Nude Men (Quatres hommes nus assis) from Les Métamorphoses,Pablo Picasso,4609,1931,Etching from an illustrated book with 30 etchings,"composition (irreg.): 5 1/4 x 6 3/4"" (13.4 x 17.1 cm); page: 12 5/8 x 10 1/4"" (32 x 26 cm)",The Louis E. Stern Collection,968.1964.13,Illustrated Book,Prints & Illustrated Books,1964-10-06,Y,29320,http://www.moma.org/collection/works/29320,http://www.moma.org/media/W1siZiIsIjE2NDI2NSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=f671e137bbb67c71,,,,13.4,,,17.1,,
Cephalus Kills His Wife Procris by Accident (Céphale tue par mégarde sa femme Procris) from Les Métamorphoses,Pablo Picasso,4609,"1930, published 1931",Etching from an illustrated book with 30 etchings,"composition (irreg.): 8 7/8 x 6 3/4"" (22.5 x 17.2 cm); page: 12 5/8 x 10 1/4"" (32 x 26 cm)",The Louis E. Stern Collection,968.1964.14,Illustrated Book,Prints & Illustrated Books,1964-10-06,Y,29321,http://www.moma.org/collection/works/29321,http://www.moma.org/media/W1siZiIsIjE3NDU1MCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=462778f3757f64c6,,,,22.5,,,17.2,,
Head of a Man and a Veiled Woman (Tête d'un homme et d'une femme voilée) from Les Métamorphoses,Pablo Picasso,4609,1931,Etching from an illustrated book with 30 etchings,"composition (irreg.): 5 1/16 x 6 3/4"" (12.8 x 17.1 cm); page: 12 5/8 x 10 1/4"" (32 x 26 cm)",The Louis E. Stern Collection,968.1964.15,Illustrated Book,Prints & Illustrated Books,1964-10-06,Y,29322,http://www.moma.org/collection/works/29322,http://www.moma.org/media/W1siZiIsIjE2NDI2NyJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=df09a7119f492101,,,,12.8,,,17.1,,
Meleager Kills the Calydonian Boar (Méléagre tue le sanglier de Calydon) from Les Métamorphoses,Pablo Picasso,4609,"1930, published 1931",Etching from an illustrated book with 30 etchings,"composition (irreg.): 8 15/16 x 6 13/16"" (22.7 x 17.3 cm); page: 12 5/8 x 10 1/4"" (32 x 26 cm)",The Louis E. Stern Collection,968.1964.16,Illustrated Book,Prints & Illustrated Books,1964-10-06,Y,29323,http://www.moma.org/collection/works/29323,http://www.moma.org/media/W1siZiIsIjE2NDI2OCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=d87c9a7fc3775fda,,,,22.7,,,17.3,,
Three Fragments of Heads (Trois fragments de têtes) from Les Métamorphoses,Pablo Picasso,4609,1931,Etching from an illustrated book with 30 etchings,"composition (irreg.): 5 1/4 x 6 3/4"" (13.3 x 17.2 cm); page: 12 5/8 x 10 1/4"" (32 x 26 cm)",The Louis E. Stern Collection,968.1964.17,Illustrated Book,Prints & Illustrated Books,1964-10-06,Y,29324,http://www.moma.org/collection/works/29324,http://www.moma.org/media/W1siZiIsIjE2NDI2OSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=ea89d1beb7e67e20,,,,13.3,,,17.2,,
Hercules Kills the Centaur Nessus (Hercule tue le centaure Nessus) from Les Métamorphoses,Pablo Picasso,4609,"1930, published 1931",Etching from an illustrated book with 30 etchings,"composition (irreg.): 8 7/8 x 6 3/4"" (22.6 x 17.2 cm); page: 12 5/8 x 10 1/4"" (32 x 26 cm)",The Louis E. Stern Collection,968.1964.18,Illustrated Book,Prints & Illustrated Books,1964-10-06,Y,29325,http://www.moma.org/collection/works/29325,http://www.moma.org/media/W1siZiIsIjE2NDI3MCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=38e4a6a3c4bfd81d,,,,22.6,,,17.2,,
Four Women in Flight (Quatre femmes en fuite) from Les Métamorphoses,Pablo Picasso,4609,1931,Etching from an illustrated book with 30 etchings,"composition (irreg.): 5 7/16 x 6 3/4"" (13.8 x 17.1 cm); page: 12 5/8 x 10 1/4"" (32 x 26 cm)",The Louis E. Stern Collection,968.1964.19,Illustrated Book,Prints & Illustrated Books,1964-10-06,Y,29326,http://www.moma.org/collection/works/29326,http://www.moma.org/media/W1siZiIsIjE2NDI3MSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=9221ff0b1cbcdd47,,,,13.8,,,17.1,,
Deucalion and Pyrrha Create a New Human Race (Deucalion et Pyrrha créent un nouveau genre humain) from Les Métamorphoses,Pablo Picasso,4609,"1930, published 1931",Etching from an illustrated book with 30 etchings,"composition (irreg.): 8 3/4 x 6 11/16"" (22.3 x 17 cm); page: 12 5/8 x 10 1/4"" (32 x 26 cm)",The Louis E. Stern Collection,968.1964.2,Illustrated Book,Prints & Illustrated Books,1964-10-06,Y,29327,http://www.moma.org/collection/works/29327,http://www.moma.org/media/W1siZiIsIjE2NDI4MyJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=bd8a5a6501e2f057,,,,22.3,,,17.0,,
Eurydice Stung by a Serpent (Eurydice piquée par un serpent) from Les Métamorphoses,Pablo Picasso,4609,"1930, published 1931",Etching from an illustrated book with 30 etchings,"composition (irreg.): 8 7/8 x 6 13/16"" (22.5 x 17.3 cm); page: 12 5/8 x 10 1/4"" (32 x 26 cm)",The Louis E. Stern Collection,968.1964.20,Illustrated Book,Prints & Illustrated Books,1964-10-06,Y,29328,http://www.moma.org/collection/works/29328,http://www.moma.org/media/W1siZiIsIjE2NDI3MyJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=2cad2f289d582986,,,,22.5,,,17.3,,
Seated Woman and Horse (Femme assise et cheval) from Les Métamorphoses,Pablo Picasso,4609,1931,Etching from an illustrated book with 30 etchings,"composition (irreg.): 5 1/2 x 6 13/16"" (14 x 17.3 cm); page: 12 5/8 x 10 1/4"" (32 x 26 cm)",The Louis E. Stern Collection,968.1964.21,Illustrated Book,Prints & Illustrated Books,1964-10-06,Y,29329,http://www.moma.org/collection/works/29329,http://www.moma.org/media/W1siZiIsIjE2NDI3NCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=4b042cc47e467806,,,,14.0,,,17.3,,
Death of Orpheus (Mort d'Orphée) from Les Métamorphoses,Pablo Picasso,4609,"1930, published 1931",Etching from an illustrated book with 30 etchings,"composition (irreg.): 8 7/8 × 6 3/4"" (22.5 × 17.1 cm); page: 12 5/8 × 10 1/4"" (32 × 26 cm)",The Louis E. Stern Collection,968.1964.22,Illustrated Book,Prints & Illustrated Books,1964-10-06,Y,29330,http://www.moma.org/collection/works/29330,http://www.moma.org/media/W1siZiIsIjE3NDU1MSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=dddecb749013973f,,,,22.5,,,17.1,,
Two Wrestlers Observed by Three Nude Women (Deux lutteurs observés par trois femmes nues) from Les Métamorphoses,Pablo Picasso,4609,1931,Etching from an illustrated book with 30 etchings,"composition (irreg.): 5 5/16 x 7"" (13.5 x 17.8 cm); page: 12 5/8 x 10 1/4"" (32 x 26 cm)",The Louis E. Stern Collection,968.1964.23,Illustrated Book,Prints & Illustrated Books,1964-10-06,Y,29331,http://www.moma.org/collection/works/29331,http://www.moma.org/media/W1siZiIsIjE2NDI3NiJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=3c706959074edf56,,,,13.5,,,17.8,,
Nestor's Stories About the Trojan War (Récits de Nestor sur la guerre de Troie) from Les Métamorphoses,Pablo Picasso,4609,"1930, published 1931",Etching from an illustrated book with 30 etchings,"composition (irreg.): 8 13/16 x 6 11/16"" (22.4 x 17 cm); page: 12 5/8 x 10 1/4"" (32 x 26 cm)",The Louis E. Stern Collection,968.1964.24,Illustrated Book,Prints & Illustrated Books,1964-10-06,Y,29332,http://www.moma.org/collection/works/29332,http://www.moma.org/media/W1siZiIsIjE2NDI3NyJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=4910e7f364935dfc,,,,22.4,,,17.0,,
Two Female Nudes (Deux femmes nues) from Les Métamorphoses,Pablo Picasso,4609,1931,Etching from an illustrated book with 30 etchings,"composition (irreg.): 5 7/16 x 6 3/4"" (13.8 x 17.1 cm); page: 12 5/8 x 10 1/4"" (32 x 26 cm)",The Louis E. Stern Collection,968.1964.25,Illustrated Book,Prints & Illustrated Books,1964-10-06,Y,29333,http://www.moma.org/collection/works/29333,http://www.moma.org/media/W1siZiIsIjE2NDI3OCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=777524bf03823e21,,,,13.8,,,17.1,,
"Polyxena, Priam's Daughter, Is Sacrificed on Achilles's Tomb (Polyxène, fille de Priam, est égorgée sur la tombe d'Achille) from Les Métamorphoses",Pablo Picasso,4609,"1930, published 1931",Etching from an illustrated book with 30 etchings,"composition (irreg.): 9 x 6 3/4"" (22.9 x 17.1 cm); page: 12 5/8 x 10 1/4"" (32 x 26 cm)",The Louis E. Stern Collection,968.1964.26,Illustrated Book,Prints & Illustrated Books,1964-10-06,Y,29334,http://www.moma.org/collection/works/29334,http://www.moma.org/media/W1siZiIsIjE3NDU1MiJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=ab34279fa82e075c,,,,22.9,,,17.1,,
Partial Female Figure (Fragment de corps de femme) from Les Métamorphoses,Pablo Picasso,4609,1931,Etching from an illustrated book with 30 etchings,"composition (irreg.): 5 1/4 x 6 5/8"" (13.4 x 16.8 cm); page: 12 5/8 x 10 1/4"" (32 x 26 cm)",The Louis E. Stern Collection,968.1964.27,Illustrated Book,Prints & Illustrated Books,1964-10-06,Y,29335,http://www.moma.org/collection/works/29335,http://www.moma.org/media/W1siZiIsIjE2NDI4MCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=7530d68059089718,,,,13.4,,,16.8,,
Vertumnus Amorously Pursues Pomona (Vertumne poursuit Pomone de son amour) from Les Métamorphoses,Pablo Picasso,4609,"1930, published 1931",Etching from an illustrated book with 30 etchings,"composition (irreg.): 8 15/16 x 6 3/4"" (22.7 x 17.1 cm); page: 12 5/8 x 10 1/4"" (32 x 26 cm)",The Louis E. Stern Collection,968.1964.28,Illustrated Book,Prints & Illustrated Books,1964-10-06,Y,29336,http://www.moma.org/collection/works/29336,http://www.moma.org/media/W1siZiIsIjE2NDI4MSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=0ad38eadd59d5cd4,,,,22.7,,,17.1,,
Two Heads of Women (Deux têtes de femme) from Les Métamorphoses,Pablo Picasso,4609,1931,Etching from an illustrated book with 30 etchings,"composition (irreg.): 5 9/16 x 6 7/8"" (14.1 x 17.4 cm); page: 12 5/8 x 10 1/4"" (32 x 26 cm)",The Louis E. Stern Collection,968.1964.29,Illustrated Book,Prints & Illustrated Books,1964-10-06,Y,29337,http://www.moma.org/collection/works/29337,http://www.moma.org/media/W1siZiIsIjE2NDI4MiJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=6af850a6b945c4e2,,,,14.1,,,17.4,,
Profile and Head of a Woman (Profil et tête de femme) from Les Métamorphoses,Pablo Picasso,4609,1931,Etching from an illustrated book with 30 etchings,"composition (irreg.): 5 1/4 x 6 9/16"" (13.3 x 16.7 cm); page: 12 5/8 x 10 1/4"" (32 x 26 cm)",The Louis E. Stern Collection,968.1964.3,Illustrated Book,Prints & Illustrated Books,1964-10-06,Y,29338,http://www.moma.org/collection/works/29338,http://www.moma.org/media/W1siZiIsIjE2NDI4NSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=0723ccf756895b6d,,,,13.3,,,16.7,,
Numa Follows the Lessons of Pythagoras (Numa suit les cours de Pythagore) from Les Métamorphoses,Pablo Picasso,4609,"1930, published 1931",Etching from an illustrated book with 30 etchings,"composition (irreg.): 8 7/8 x 6 7/8"" (22.6 x 17.4 cm); page: 12 5/8 x 10 1/4"" (32 x 26 cm)",The Louis E. Stern Collection,968.1964.30,Illustrated Book,Prints & Illustrated Books,1964-10-06,Y,29339,http://www.moma.org/collection/works/29339,http://www.moma.org/media/W1siZiIsIjE2NDI4NCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=85b85ec7c7361790,,,,22.6,,,17.4,,
The Fall of Phaethon with the Sun Chariot (Chute de Phaéthon avec le char du soleil) from Les Métamorphoses,Pablo Picasso,4609,"1930, published 1931",Etching from an illustrated book with 30 etchings,"composition (irreg.): 8 15/16 x 6 11/16"" (22.7 x 17 cm); page: 12 5/8 x 10 1/4"" (32 x 26 cm)",The Louis E. Stern Collection,968.1964.4,Illustrated Book,Prints & Illustrated Books,1964-10-06,Y,29340,http://www.moma.org/collection/works/29340,http://www.moma.org/media/W1siZiIsIjE2NDI4NiJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=d87afc07fa44c3a4,,,,22.7,,,17.0,,
Heads (Têtes) from Les Métamorphoses,Pablo Picasso,4609,1931,Etching from an illustrated book with 30 etchings,"composition (irreg.): 5 1/2 x 7 13/16"" (13.9 x 19.8 cm); page: 12 5/8 x 10 1/4"" (32 x 26 cm)",The Louis E. Stern Collection,968.1964.5,Illustrated Book,Prints & Illustrated Books,1964-10-06,Y,29341,http://www.moma.org/collection/works/29341,http://www.moma.org/media/W1siZiIsIjE2NDI4NyJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=e13b2a208a97b6b2,,,,13.9,,,19.8,,
The Love of Jupiter and Semele (Amours de Jupiter et de Sémélé) from Les Métamorphoses,Pablo Picasso,4609,"1930, published 1931",Etching from an illustrated book with 30 etchings,"composition (irreg.): 8 3/4 x 6 3/4"" (22.3 x 17.1 cm); page: 12 5/8 x 10 1/4"" (32 x 26 cm)",The Louis E. Stern Collection,968.1964.6,Illustrated Book,Prints & Illustrated Books,1964-10-06,Y,29342,http://www.moma.org/collection/works/29342,http://www.moma.org/media/W1siZiIsIjE2NDI4OCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=011ae0f9cc4e9277,,,,22.3,,,17.1,,
Three Female Nudes (Trois femme nues) from Les Métamorphoses,Pablo Picasso,4609,1931,Etching from an illustrated book with 30 etchings,"composition (irreg.): 5 9/16 x 6 11/16"" (14.1 x 17 cm); page: 12 5/8 x 10 1/4"" (32 x 26 cm)",The Louis E. Stern Collection,968.1964.7,Illustrated Book,Prints & Illustrated Books,1964-10-06,Y,29343,http://www.moma.org/collection/works/29343,http://www.moma.org/media/W1siZiIsIjE2NDI4OSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=41eee9c3954369a4,,,,14.1,,,17.0,,
Minyas' Daughters Refuse to Recognize the God Bacchus (Les Filles de Minyas refusent de reconnaître le dieu Bacchus) from Les Métamorphoses,Pablo Picasso,4609,"1930, published 1931",Etching from an illustrated book with 30 etchings,"composition (irreg.): 9 x 6 3/4"" (22.8 x 17.2 cm); page: 12 5/8 x 10 1/4"" (32 x 26 cm)",The Louis E. Stern Collection,968.1964.8,Illustrated Book,Prints & Illustrated Books,1964-10-06,Y,29344,http://www.moma.org/collection/works/29344,http://www.moma.org/media/W1siZiIsIjE2NDI5MCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=f3a7d8d413750492,,,,22.8,,,17.2,,
Four Heads of Men (Quatres têtes d'hommes) from Les Métamorphoses,Pablo Picasso,4609,1931,Etching from an illustrated book with 30 etchings,"composition (irreg.): 5 5/16 x 6 9/16"" (13.5 x 16.7 cm); page: 12 5/8 x 10 1/4"" (32 x 26 cm)",The Louis E. Stern Collection,968.1964.9,Illustrated Book,Prints & Illustrated Books,1964-10-06,Y,29345,http://www.moma.org/collection/works/29345,http://www.moma.org/media/W1siZiIsIjE2NDI5MSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=1b10bed6b0356ba1,,,,13.5,,,16.7,,
L'Antitête,Pablo Picasso,4609,"1932, published 1933",Illustrated book with one etching,"plate: 5 9/16 x 4 7/16"" (14.1 x 11.3 cm); page (irreg.): 7 1/2 x 5 9/16"" (19 x 14.2 cm)",The Louis E. Stern Collection,969.1964,Illustrated Book,Prints & Illustrated Books,1964-10-06,Y,29347,http://www.moma.org/collection/works/29347,http://www.moma.org/media/W1siZiIsIjE1NDM4MSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=146085a0995208f0,,,,14.1,,,11.3,,
Oath of the Women (Le Serment des femmes) from Lysistrata,Pablo Picasso,4609,1934,Etching,"plate: 8 11/16 x 5 7/8"" (22 x 15 cm); page: 11 7/16 x 9 1/4"" (29 x 23.5 cm)",The Louis E. Stern Collection,970.1964.1,Illustrated Book,Prints & Illustrated Books,1964-10-06,Y,29349,http://www.moma.org/collection/works/29349,http://www.moma.org/media/W1siZiIsIjE3NDU1NSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=5a43c56a6101de95,,,,22.0,,,15.0,,
Lysistrata,Pablo Picasso,4609,1934,Illustrated book with six etchings and thirty-four line block reproductions after drawings,"plate (see child records): dimensions vary; page (each approx.): 11 1/2 x 9 1/4"" (29 x 23.5 cm)",The Louis E. Stern Collection,970.1964.1-6,Illustrated Book,Prints & Illustrated Books,1964-10-06,Y,29350,http://www.moma.org/collection/works/29350,http://www.moma.org/media/W1siZiIsIjE3Mzc5MSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=907953aad13b91af,,,,29.0,,,23.5,,
Kinesias and His Family (Cinésias et sa famille) from Lysistrata,Pablo Picasso,4609,1934,Etching,"plate: 8 3/16 x 5 7/16"" (20.8 x 13.8 cm); page: 11 7/16 x 9 1/4"" (29 x 23.5 cm)",The Louis E. Stern Collection,970.1964.2,Illustrated Book,Prints & Illustrated Books,1964-10-06,Y,29351,http://www.moma.org/collection/works/29351,http://www.moma.org/media/W1siZiIsIjE3Mzc5OCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=226ad787d0c42e3c,,,,20.8,,,13.8,,
Kinesias and Myrrhina (Cinésias et Myrrhine) from Lysistrata,Pablo Picasso,4609,1934,Etching,"plate: 8 11/16 x 6"" (22 x 15.2 cm); page: 11 7/16 x 9 1/4"" (29 x 23.5 cm)",The Louis E. Stern Collection,970.1964.3,Illustrated Book,Prints & Illustrated Books,1964-10-06,Y,29352,http://www.moma.org/collection/works/29352,http://www.moma.org/media/W1siZiIsIjE3Mzc5OSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=5e5c76c43d715a33,,,,22.0,,,15.2,,
Two Old Men at the Seashore with a Shovel and a Small Boat (Deux vieux au bord de la mer avec une pelle et une barque) from Lysistrata,Pablo Picasso,4609,1934,Etching,"plate: 8 1/8 x 5 7/16"" (20.6 x 13.8 cm); page: 11 7/16 x 9 1/4"" (29 x 23.5 cm)",The Louis E. Stern Collection,970.1964.4,Illustrated Book,Prints & Illustrated Books,1964-10-06,Y,29353,http://www.moma.org/collection/works/29353,http://www.moma.org/media/W1siZiIsIjE3MzgwMSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=643e80687d23c6e2,,,,20.6,,,13.8,,
"Accord Between the Spartan and Athenian Warriors: The Peace (Accord entre les Athéniens et les Spartiates, la paix) from Lysistrata",Pablo Picasso,4609,1934,Etching,"plate: 8 9/16 x 5 7/8"" (21.8 x 15 cm); page: 11 7/16 x 9 1/4"" (29 x 23.5 cm)",The Louis E. Stern Collection,970.1964.5,Illustrated Book,Prints & Illustrated Books,1964-10-06,Y,29354,http://www.moma.org/collection/works/29354,http://www.moma.org/media/W1siZiIsIjE3NDc3MyJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=af2be07080b1bb18,,,,21.8,,,15.0,,
The Feast (Le Banquet) from Lysistrata,Pablo Picasso,4609,1934,Etching,"plate: 8 11/16 x 5 7/8"" (22.1 x 15 cm); page: 11 7/16 x 9 1/4"" (29 x 23.5 cm)",The Louis E. Stern Collection,970.1964.6,Illustrated Book,Prints & Illustrated Books,1964-10-06,Y,29355,http://www.moma.org/collection/works/29355,http://www.moma.org/media/W1siZiIsIjE5NDE5MyJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=ea5da6c635fe12f3,,,,22.1,,,15.0,,
Oath of the Women (Le Serment des femmes) from Lysistrata,Pablo Picasso,4609,1934,Etching from an illustrated book with six etchings,"plate: 8 11/16 x 6"" (22.1 x 15.2 cm); sheet: 14 15/16 x 11"" (38 x 28 cm)",The Louis E. Stern Collection,971.1964.1,Illustrated Book,Prints & Illustrated Books,1964-10-06,Y,29357,http://www.moma.org/collection/works/29357,http://www.moma.org/media/W1siZiIsIjE2NDI5MyJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=1af9e7ef269ec3e5,,,,22.1,,,15.2,,
Lysistrata,Pablo Picasso,4609,1934,Illustrated book with six etchings,"page: 14 15/16 x 11"" (38 x 28 cm)",The Louis E. Stern Collection,971.1964.1-6,Illustrated Book,Prints & Illustrated Books,1964-10-06,Y,29358,http://www.moma.org/collection/works/29358,,,,,38.0,,,28.0,,
Kinesias and His Family (Cinésias et sa famille) from Lysistrata,Pablo Picasso,4609,1934,Etching from an illustrated book with six etchings,"plate: 8 1/4 x 5 1/2"" (20.9 x 14 cm); sheet: 14 15/16 x 11"" (38 x 28 cm)",The Louis E. Stern Collection,971.1964.2,Illustrated Book,Prints & Illustrated Books,1964-10-06,Y,29359,http://www.moma.org/collection/works/29359,http://www.moma.org/media/W1siZiIsIjE2NDI5NCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=67c1be42e7fd7e4f,,,,20.9,,,14.0,,
Kinesias and Myrrhina (Cinésias et Myrrhine) from Lysistrata,Pablo Picasso,4609,1934,Etching from an illustrated book with six etchings,"plate: 8 3/4 x 6"" (22.2 x 15.3 cm); sheet: 14 15/16 x 11"" (38 x 28 cm)",The Louis E. Stern Collection,971.1964.3,Illustrated Book,Prints & Illustrated Books,1964-10-06,Y,29360,http://www.moma.org/collection/works/29360,http://www.moma.org/media/W1siZiIsIjE2NDI5NSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=0819f0d13cde3eb2,,,,22.2,,,15.3,,
Two Old Men at the Seashore with a Shovel and a Small Boat (Deux vieux au bord de la mer avec une pelle et une barque) from Lysistrata,Pablo Picasso,4609,1934,Etching from an illustrated book with six etchings,"plate: 8 1/4 x 5 1/2"" (21 x 14 cm); sheet: 11 x 14 15/16"" (28 x 38 cm)",The Louis E. Stern Collection,971.1964.4,Illustrated Book,Prints & Illustrated Books,1964-10-06,Y,29361,http://www.moma.org/collection/works/29361,http://www.moma.org/media/W1siZiIsIjE2NDI5NiJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=ca27a8e903f935f5,,,,21.0,,,14.0,,
