id,accession_number,artist,artistRole,artistId,title,dateText,medium,creditLine,year,acquisitionYear,dimensions,width,height,depth,units,inscription,thumbnailCopyright,thumbnailUrl,url
20622,P77583,"Picasso, Pablo",artist,1767,"Etching: 3 February 1970 IV (5, 6 March 1970) (L.10)",1970,Etching and aquatint on paper,Purchased 1993,1970,1993,unconfirmed: 500 x 420 mm,500,420,,mm,,© Succession Picasso/DACS 2014,http://www.tate.org.uk/art/images/work/P/P77/P77583_8.jpg,http://www.tate.org.uk/art/artworks/picasso-etching-3-february-1970-iv-5-6-march-1970-l10-p77583
20623,P77584,"Picasso, Pablo",artist,1767,"Etching: 11, 28 February 1970 3, 16, 30 March 1970 (L.13)",1970,Etching on paper,Purchased 1993,1970,1993,unconfirmed: 510 x 640 mm,510,640,,mm,,© Succession Picasso/DACS 2014,http://www.tate.org.uk/art/images/work/P/P77/P77584_8.jpg,http://www.tate.org.uk/art/artworks/picasso-etching-11-28-february-1970-3-16-30-march-1970-l13-p77584
20624,P77585,"Picasso, Pablo",artist,1767,Etching: 19 February 1970 (L.16),1970,Etching on paper,Purchased 1993,1970,1993,unconfirmed: 510 x 640 mm,510,640,,mm,,,,http://www.tate.org.uk/art/artworks/picasso-etching-19-february-1970-l16-p77585
20625,P77586,"Picasso, Pablo",artist,1767,"Etching: (12 March 1970 II) 31 March 1970, 2 April 1970 (L.21)",1970,Aquatint and drypoint on paper,Purchased 1993,1970,1993,unconfirmed: 510 x 540 mm,510,540,,mm,,© Succession Picasso/DACS 2014,http://www.tate.org.uk/art/images/work/P/P77/P77586_8.jpg,http://www.tate.org.uk/art/artworks/picasso-etching-12-march-1970-ii-31-march-1970-2-april-1970-l21-p77586
20626,P77587,"Picasso, Pablo",artist,1767,Etching: 10 April 1971 (L.112),1971,Etching on paper,Purchased 1993,1971,1993,unconfirmed: 370 x 500 mm,370,500,,mm,,© Succession Picasso/DACS 2014,http://www.tate.org.uk/art/images/work/P/P77/P77587_8.jpg,http://www.tate.org.uk/art/artworks/picasso-etching-10-april-1971-l112-p77587
20627,P77588,"Picasso, Pablo",artist,1767,"Etching: 19, 21, 23, 24, 26, 30, 31 May 1971, 2 June 1971 (L.130)",1971,Aquatint and drypoint on paper,Purchased 1993,1971,1993,unconfirmed: 370 x 500 mm,370,500,,mm,,© Succession Picasso/DACS 2014,http://www.tate.org.uk/art/images/work/P/P77/P77588_8.jpg,http://www.tate.org.uk/art/artworks/picasso-etching-19-21-23-24-26-30-31-may-1971-2-june-1971-l130-p77588
20628,P77589,"Picasso, Pablo",artist,1767,"Etching: 22, 26 May 1971, 2 June 1971 (L.133)",1971,Aquatint and drypoint on paper,Purchased 1993,1971,1993,unconfirmed: 370 x 500 mm,370,500,,mm,,© Succession Picasso/DACS 2014,http://www.tate.org.uk/art/images/work/P/P77/P77589_8.jpg,http://www.tate.org.uk/art/artworks/picasso-etching-22-26-may-1971-2-june-1971-l133-p77589
20629,P77590,"Picasso, Pablo",artist,1767,"Etching: 1, 5 March 1972 (L.155)",1972,"Etching, drypoint and aquatint on paper",Purchased 1993,1972,1993,unconfirmed: 370 x 500 mm,370,500,,mm,,© Succession Picasso/DACS 2014,http://www.tate.org.uk/art/images/work/P/P77/P77590_8.jpg,http://www.tate.org.uk/art/artworks/picasso-etching-1-5-march-1972-l155-p77590
11863,T00145,"Picasso, Pablo",artist,1767,"Goat’s Skull, Bottle and Candle",1952,Oil paint on canvas,Purchased 1957,1952,1957,support: 894 x 1162 x 20 mm frame: 1081 x 1346 x 95 mm,894,1162,20,mm,date inscribed,© Succession Picasso/DACS 2014,http://www.tate.org.uk/art/images/work/T/T00/T00145_8.jpg,http://www.tate.org.uk/art/artworks/picasso-goats-skull-bottle-and-candle-t00145
11864,T00341,"Picasso, Pablo",artist,1767,Dora Maar Seated,1938,"Ink, gouache and oil paint on paper on canvas",Purchased 1960,1938,1960,support: 689 x 625 mm frame: 925 x 685 x 120 mm,689,625,,mm,date inscribed,© Succession Picasso/DACS 2014,http://www.tate.org.uk/art/images/work/T/T00/T00341_8.jpg,http://www.tate.org.uk/art/artworks/picasso-dora-maar-seated-t00341
